Image,MSE_Gaussian,PSNR_Gaussian,MSE_Median,PSNR_Median
3.pgm,78.7045,29.170807966245086,93.2934,28.432294400042323
4.pgm,77.3682,29.245178679157128,94.0197,28.398614997692654
5.pgm,91.5928,28.51219025225914,114.9268,27.526590464099257
6.pgm,92.8416,28.453377445387545,108.9664,27.757877578276705
7.pgm,83.4585,28.916097859987744,101.9889,28.045274531360835
8.pgm,82.4413,28.9693552940587,96.3726,28.29126785059065
9.pgm,84.2912,28.87298124213883,102.77,28.012140043401864
10.pgm,90.1684,28.580259974958185,106.7787,27.845957317243986
1.pgm,82.4809,28.967269697114943,108.3634,27.781977379095725
2.pgm,67.5699,29.833270846761057,88.1015,28.680970581746234
3.pgm,76.9801,29.267018899443606,103.5975,27.977310856643435
4.pgm,76.7116,29.282193197993415,100.0841,28.12715272706692
5.pgm,69.638,29.70234071160075,88.1475,28.67870361323905
6.pgm,76.618,29.28749549690446,99.8666,28.136600964764504
7.pgm,72.5522,29.52429774785072,101.9578,28.046599049824913
8.pgm,77.5008,29.23774175344925,103.1999,27.99401084404908
9.pgm,71.3676,29.595792686266336,92.1398,28.486330956361925
10.pgm,72.651,29.518387643743658,93.7576,28.410738790891266
1.pgm,77.7695,29.22271054094077,105.5915,27.894514014927797
2.pgm,72.6576,29.51799312565147,98.5821,28.192822955915258
3.pgm,76.1357,29.31492015825951,102.2278,28.035113462353657
4.pgm,75.3071,29.36244437184338,107.0113,27.836507208600096
5.pgm,80.618,29.06648341049115,110.9938,27.67781640648731
6.pgm,75.647,29.34288651367663,106.1877,27.870061466789018
7.pgm,78.9804,29.15561031956713,110.7626,27.6868721920788
8.pgm,70.5704,29.644577818027656,96.6889,28.27703741443107
9.pgm,79.6366,29.119676508580806,110.9635,27.67900214112036
10.pgm,80.4032,29.078070271109233,111.1939,27.66999397983424
1.pgm,130.7172,26.967476242925827,187.8785,25.39203276699276
2.pgm,131.9545,26.92656155460426,192.1548,25.294291233166906
3.pgm,124.8894,27.165547817160714,176.6162,25.660498244353608
4.pgm,127.0196,27.092096201082676,183.8411,25.48637750946128
5.pgm,131.4487,26.943240654853863,186.6868,25.419667493453236
6.pgm,127.0162,27.09221245251169,179.028,25.601594008683982
7.pgm,116.0304,27.48508571446488,170.0007,25.82629651221922
8.pgm,126.7836,27.100172815346703,187.8667,25.392305540930423
9.pgm,124.868,27.16629205152057,182.7639,25.511899439727095
10.pgm,129.8637,26.99592588492489,182.2119,25.525036241498647
1.pgm,99.4232,28.155926237911725,141.8315,26.61307664880452
2.pgm,132.8189,26.898204817570463,198.748,25.147775938203285
3.pgm,102.8296,28.009622144354736,151.3025,26.332342568550686
4.pgm,136.5793,26.77695478337892,196.6883,25.193018341797078
